model,train_fcn,delay,layers,mse,train_mse,test_mse
narx,trainlm,35,20,71404.04933441151,17753.25433900005,344983.0966951427
narx,trainlm,35,25,124780.5311716568,59099.15924889005,357977.2822989032
narx,trainlm,35,30,218301.07010119566,171146.90454916892,504602.5940239314
narx,trainlm,35,35,51224.92153445467,6.25973576178174,313925.191338469
narx,trainlm,35,40,31147.09618571573,4067.815662665197,135757.16170381734
narx,trainlm,35,5,286348.64828737173,307126.49496658443,221156.78027821786
narx,trainlm,40,1,228405.89215209128,187872.86840922805,465201.1054701555
narx,trainlm,40,10,81949.7448039698,33048.98146242,362328.75999724923
narx,trainlm,40,15,68172.79717571488,37159.76316602456,185108.37233731663
narx,trainlm,40,20,155027.25095783212,128610.03719363266,327203.8260912457
narx,trainlm,40,25,253440.6559025264,202557.0093674018,542979.5045333061
narx,trainlm,40,30,38665.92856673887,4.1238331620517295e-05,206618.6721660265
narx,trainlm,40,35,51493.394781167,2.9627857334244327e-15,321220.9058758481
narx,trainlm,40,40,47385.53040143831,3249.8202179819814,217600.5249569227
narx,trainlm,40,5,395913.5177821687,401762.94809216616,424135.00546415563
narx,trainlm,5,1,230947.16599616656,237636.62598717536,223870.62349067922
narx,trainlm,5,10,124167.95062238455,106809.78211210939,222227.0691378573
narx,trainlm,5,15,65738.17682866183,17221.29700573415,333101.91272032826
narx,trainlm,5,20,170195.44079942696,163149.09056712213,181829.75876775855
narx,trainlm,5,25,139208.74396859578,122159.54897002125,241524.2252367652
narx,trainlm,5,30,73831.27849703508,25616.395700981957,257080.08364847183
narx,trainlm,5,35,62129.70089010702,35099.82835689576,208278.55072711266
narx,trainlm,5,40,167142.62977809482,119496.21910282824,461499.1621444314
narx,trainlm,5,5,179044.22326004136,168834.12637078142,178345.04463654995
narx,trainscg,10,1,146457.60703255332,144671.76792546228,152710.75386328762
narx,trainscg,10,10,265993.94490094425,256626.10655731516,366394.26187137037
narx,trainscg,10,15,189064.0117433408,181283.5381867796,247778.0708014877
narx,trainscg,10,20,408142.87841589906,430467.432442106,379401.27723322227
narx,trainscg,10,25,76917.80504302807,59277.178114715156,166712.22756676812
narx,trainscg,10,30,114964.94380233227,92544.93263846614,220321.2777593693
narx,trainscg,10,35,275007.43986171426,226528.5908052005,559706.8816497667
narx,trainscg,10,40,111839.69899021092,104611.05955480142,163805.72528979808
narx,trainscg,10,5,124492.73911069374,112836.56205240582,208099.9782659412
narx,trainscg,15,1,168453.43862366505,171656.88327373352,184325.92649779687
narx,trainscg,15,10,175138.22207162908,145009.15600890506,362813.79893643263
narx,trainscg,15,15,81833.88863138431,53513.51552735399,250648.74092986327
narx,trainscg,15,20,67896.83462913091,59639.18903591787,92636.11718627537
narx,trainscg,15,25,130840.13189234956,121549.6973676119,151488.10527369147
narx,trainscg,15,30,69337.3763452687,51907.06627441944,156330.24179491153
narx,trainscg,15,35,116332.57584115588,109391.25847866226,176435.8369738486
narx,trainscg,15,40,108380.25128050773,92814.25169193986,149263.62868888653
narx,trainscg,15,5,128270.98825059511,111594.24257207423,234881.1986453844
narx,trainscg,1,1,452450.83413880673,450472.506503805,404515.1295817461
narx,trainscg,1,10,387849.1489767878,414992.41155106033,303125.619244082
narx,trainscg,1,15,524299.2263478853,525045.7184637847,674778.2939311137
narx,trainscg,1,20,488989.6591026154,541862.958800634,276318.4992960203
narx,trainscg,1,25,347948.2782700422,305382.6266828541,507728.446735082
narx,trainscg,1,30,397275.65175787435,409219.59454429476,433340.9783696768
narx,trainscg,1,35,516905.14442517975,499611.8150800086,720619.6790288562
narx,trainscg,1,40,555641.641591958,488007.6370676291,921848.5037332659
narx,trainscg,1,5,426637.94367857923,405269.05064415,313277.5005606323
narx,trainscg,20,1,99488.22582126793,100781.23363481944,89724.76307443275
narx,trainscg,20,10,66752.44793718896,49951.80544187599,151293.25029727508
narx,trainscg,20,15,227817.30225955817,231503.29742462464,263774.87302789267
narx,trainscg,20,20,140587.78913956927,112333.32173971707,223424.58122039962
narx,trainscg,20,25,83031.9787449546,77003.68427065194,135585.29182479382
narx,trainscg,20,30,224157.09346556387,228825.3629605701,153069.68091005346
narx,trainscg,20,35,72535.44943624383,40987.15085855994,191668.4786621536
narx,trainscg,20,40,233377.3961387268,202569.15483988266,350268.61620243173
narx,trainscg,20,5,188259.92874230712,190815.56812883253,158697.87136883807
narx,trainscg,25,1,155419.9560369504,150942.365115742,186879.31363015005
narx,trainscg,25,10,170306.7678277123,173059.02050566825,177260.87014384946
narx,trainscg,25,15,105407.82258459725,88825.11966691703,211162.4482668918
narx,trainscg,25,20,80656.79566208745,66722.00918636924,128075.72539887288
narx,trainscg,25,25,125769.13254171314,94477.3861346824,308061.7015236243
narx,trainscg,25,30,884052.9325967828,892006.8937368542,900984.8221708268
narx,trainscg,25,35,194094.10420698734,184749.52308452895,284270.8066265231
narx,trainscg,25,40,110423.1402904064,107827.89951840989,128831.05648782787
narx,trainscg,25,5,61518.04116696573,56328.876595415306,80146.55729536063
narx,trainscg,30,1,95392.61950255813,84228.95686361534,175935.54085675013
narx,trainscg,30,10,138442.36165009785,121472.6382656424,189744.79708234
narx,trainscg,30,15,69957.82598856234,45988.55909982188,189431.33794920487
narx,trainscg,30,20,50284.91945611358,35157.53272176709,78154.1225901633
narx,trainscg,30,25,86380.87372232991,76612.83957793468,137827.35350137437
narx,trainscg,30,30,81738.59190711293,47172.65578280491,263051.2601466568
narx,trainscg,30,35,125980.81060200221,116251.89432695715,173538.51314581913
narx,trainscg,30,40,78848.96884520067,44696.78283775107,226098.5392745896
narx,trainscg,30,5,75419.2868523714,60263.37759420505,158632.09149294614
narx,trainscg,35,1,80276.7189795864,79734.95419188487,98490.14902187652
narx,trainscg,35,10,74349.74375974553,45674.75491430725,234399.47873336426
narx,trainscg,35,15,60710.56829100714,47915.61171073618,133320.60862083134
narx,trainscg,35,20,122336.66522553164,98055.88698805064,273880.73550935945
narx,trainscg,35,25,680309.774030066,644495.5680897171,975626.8283341794
narx,trainscg,35,30,223955.3288601513,241488.3746928389,142313.5495255163
narx,trainscg,35,35,118278.1582309791,107577.31411528288,115585.86568928561
narx,trainscg,35,40,349367.810847825,277888.92085714923,726921.9643963701
narx,trainscg,35,5,121289.09518973836,112420.61862598904,165631.2338130042
narx,trainscg,40,1,116999.98082722115,112286.67493955682,152275.02480831562
narx,trainscg,40,10,77170.48210780605,56966.97903951153,158836.66827143845
narx,trainscg,40,15,65772.7058438483,41772.92619403231,174915.00523071812
narx,trainscg,40,20,156976.91377327355,149850.89953444956,237045.3996467061
narx,trainscg,40,25,204868.74199187665,197251.21592889586,268610.11106117576
narx,trainscg,40,30,87008.87782325571,54272.93385304376,234657.9042876019
narx,trainscg,40,35,207195.08944341182,181574.03927042586,382506.8854742834
narx,trainscg,40,40,233480.14288262828,218911.96410421122,363872.1603439732
narx,trainscg,40,5,54407.90413597023,43966.69398713866,112778.68078198012
narx,trainscg,5,1,462345.8177694162,475122.4051412726,410518.4262043659
narx,trainscg,5,10,781501.9120383812,789006.9818269729,823169.9570169896
narx,trainscg,5,15,264341.28070616233,282349.39248679,201413.0703946116
narx,trainscg,5,20,260494.06799375176,248375.70476247344,369215.805289231
narx,trainscg,5,25,127540.28744741793,113732.6542849982,215558.1451700506
narx,trainscg,5,30,272662.5248492275,274285.3799415641,266987.2407132516
narx,trainscg,5,35,213989.0520592161,195255.63846338168,348999.5662112047
narx,trainscg,5,40,417841.5260645704,422277.3644239729,441098.82268013904
narx,trainscg,5,5,167241.73612058206,164786.76166479956,212552.9464759752
