model,train_fcn,delay,layers,mse,train_mse,test_mse
nar,trainbr,25,30,75725.80697810798,72768.82562569181,92795.65387614649
nar,trainbr,25,35,77130.2335616991,71986.14966929721,106825.62694056428
nar,trainbr,25,40,77765.11931938745,70434.2166358628,120084.42117427965
nar,trainbr,25,5,73361.15792695005,71353.60741229393,84950.19953428287
nar,trainbr,30,1,77081.20153845692,64599.64562399125,146297.1025186757
nar,trainbr,30,10,74331.80640241984,60921.55110683298,148697.76758703787
nar,trainbr,30,15,71907.73009495843,60862.135943449335,133160.57038969063
nar,trainbr,30,20,72822.5344241625,66081.42702323679,110205.03910202325
nar,trainbr,30,25,72752.77834228872,61723.090664741634,133917.41000868598
nar,trainbr,30,30,74503.28529359736,57178.875428630156,170575.01272659702
nar,trainbr,30,35,72550.11202320836,67400.9152927144,101104.74843776572
nar,trainbr,30,40,73458.38942002255,70204.52028317972,91502.57281524193
nar,trainbr,30,5,71808.46116057635,64666.518229389694,111413.78105170232
nar,trainbr,35,1,71364.74836376822,63834.52464660577,113677.43401258596
nar,trainbr,35,10,68419.76250813415,58107.497609921134,126364.8700314266
nar,trainbr,35,15,66571.28210875737,58975.037039450624,109254.94487914712
nar,trainbr,35,20,67173.68886667697,59107.152746551554,112499.93944642958
nar,trainbr,35,25,68731.05734915768,60269.65965045011,116276.0539418952
nar,trainbr,35,30,72549.07886514763,56318.4631874063,163749.68124483695
nar,trainbr,35,35,70514.55680724484,57311.46393999278,144703.36434704234
nar,trainbr,35,40,71291.17007167073,49368.711043453965,194474.5112778413
nar,trainbr,35,5,38167.501148232004,8.599869416679827e-13,252632.5076002023
nar,trainbr,40,1,64254.59970453588,53971.7905574898,122866.6118426982
nar,trainbr,40,10,60166.285783699124,59263.407278986175,65312.69326056308
nar,trainbr,40,15,61343.82182215638,50945.56267125951,120613.89898226845
nar,trainbr,40,20,61984.659422409495,54113.158661528476,106852.21375943124
nar,trainbr,40,25,60744.43980228107,58329.43924799883,74509.94296168981
nar,trainbr,40,30,62045.786085229374,44691.36901550606,160965.963382652
nar,trainbr,40,35,64362.120394694815,52265.079067112616,133315.25596191303
nar,trainbr,40,40,61138.59038282075,51880.40356665258,113910.25523497931
nar,trainbr,40,5,55507.39868321201,41762.810955073895,133851.54873359937
nar,trainbr,5,1,444199.1793075492,440921.13956447283,463080.68822766974
nar,trainbr,5,10,179629.9356210693,144278.1426616103,383256.263067553
nar,trainbr,5,15,442161.6193394841,400213.0426587177,683785.4210206982
nar,trainbr,5,20,440923.8503951597,448748.7277712185,395852.5567090604
nar,trainbr,5,25,196858.06350226566,65485.996526502386,953561.169282662
nar,trainbr,5,30,197259.4735238217,106509.14629392928,719981.3583680022
nar,trainbr,5,35,163984.11980697527,68736.7789363918,712608.8032215366
nar,trainbr,5,40,241973.56568246128,145512.15274724894,797591.3041892856
nar,trainbr,5,5,264675.5409967902,209992.11340654746,579652.0839165875
nar,trainlm,10,1,347399.29107589147,338864.7690766991,393847.9189169751
nar,trainlm,10,10,146797.30059331734,107912.43320465415,343531.9810130777
nar,trainlm,10,15,69357.84276142981,51214.342755469006,165210.8843041519
nar,trainlm,10,20,176328.91263856782,128789.05990675074,461796.8162263951
nar,trainlm,10,25,139424.89564549312,77160.06046320619,448918.92895065655
nar,trainlm,10,30,88074.31219678775,324.488308956889,444144.5351109831
nar,trainlm,10,35,338213.5823880574,265985.3793990221,783985.4841380164
nar,trainlm,10,40,114778.99393264734,919.528292550086,561844.1505586228
nar,trainlm,10,5,113577.35203883605,97888.44226407989,119997.57717310445
nar,trainlm,15,1,135154.45040374188,126142.91104475658,179727.90735348806
nar,trainlm,15,10,72025.03978807273,22047.88272968089,347536.4852840525
nar,trainlm,15,15,69581.05237153452,17219.73946963458,241230.59464156305
nar,trainlm,15,20,458333.651609074,456155.63730935706,586679.5151892005
nar,trainlm,15,25,75189.71668127057,35100.74006521814,150038.32670895645
nar,trainlm,15,30,109361.73945225557,31588.129518274058,265311.4022348104
nar,trainlm,15,35,219843.0475933944,201119.05376595526,333591.3906801269
nar,trainlm,15,40,374695.3252200313,324875.0076458937,564444.7593377925
nar,trainlm,15,5,67906.98502150999,41990.54257839083,200806.6862434332
nar,trainlm,1,1,590506.8860692914,607943.2908174627,394997.07538950094
nar,trainlm,1,10,430141.40921992244,404972.1774253465,550622.0745752064
nar,trainlm,1,15,426736.40939659055,400275.40014493547,557749.3962773861
nar,trainlm,1,20,471826.2117942688,453495.2450989091,464345.2598089234
nar,trainlm,1,25,378568.75010957755,348097.14499594725,497836.9298643622
nar,trainlm,1,30,1015877.9096948672,350364.6131988385,4727433.603377651
